,human_count,all_count,percentage_endo
ERR2102816,5497,40248342,0.013657705452810951
ERR2102806,53934,40905713,0.13184955363080947
ERR2197828,4523,21745844,0.02079937665330442
ERR2102815,70737,39570437,0.17876224111449665
ERR2197818,267,25793398,0.001035148606631821
ERR2102809,12463,42573689,0.02927394898760124
ERR2102812,5315,36639212,0.01450631634763324
ERR2102824,5198,31306971,0.016603330932270646
ERR2197832,31,22953932,0.00013505311421154335
ERR2197819,11,30028400,3.66319883843295e-05
ERR2197831,53,25462582,0.00020814856875080463
ERR2102822,596,46038700,0.001294563052388534
ERR2197829,47,29975316,0.00015679567815064902
ERR2197834,1067,23379635,0.004563800931879389
ERR2197835,21,27891712,7.529118327336809e-05
ERR2197816,79,23741769,0.0003327468985145968
ERR2102817,2340,38701765,0.006046235875805664
ERR2102811,2411,38490883,0.006263820967682139
ERR2102814,792,42172554,0.001877998662352771
ERR2102820,14051,46295493,0.03035068662083369
ERR2197822,349,28324752,0.0012321378842081302
ERR2197821,462,25399812,0.0018189111006018468
ERR2197833,378,25602711,0.0014764061508955046
ERR2102813,18668,37907932,0.049245630175763735
ERR2102810,16291,45618869,0.035711100159015345
ERR2102821,26439,50548538,0.05230418335739008
ERR2197827,58,26828446,0.00021618844416109676
ERR2197830,52,28693498,0.00018122572577243808
ERR2102808,11037,40750658,0.027084225241221872
ERR2197817,120,20138965,0.0005958598170263467
ERR2197823,37,22878674,0.0001617226592764948
ERR2197820,217,26339197,0.0008238671816760397
ERR2102823,4071,42852286,0.009500076612015518
ERR2197826,236,28861056,0.0008177108973420791
ERR2102819,25924,35973229,0.07206470122545852
ERR2102818,27338,34905593,0.07831982685410903
ERR2102825,4679,42091752,0.011116192074874907
ERR2197824,22,27584584,7.97546919685285e-05
ERR2197825,22,33595615,6.548473662411003e-05
