,dog_count,all_count,percentage_endo,organism
ERR1914445,608,5149226,0.01180759982179846,Dog
ERR1915141,199,3533432,0.005631918203038859,Dog
ERR1916240,2398,2959452,0.08102851473853943,Dog
ERR1915117,1224,4438944,0.027574125738013367,Dog
ERR1913401,2085,3861284,0.05399758215142943,Dog
ERR1915610,3612,3616066,0.09988755736206142,Dog
ERR1915410,2647,3802428,0.06961341542824742,Dog
ERR1916166,893,4657978,0.019171408709959557,Dog
ERR1914224,3162,7968330,0.03968209147964504,Dog
ERR1913830,4042,4956394,0.08155122453945347,Dog
ERR1915971,3066,4209920,0.07282798723016115,Dog
ERR1916218,865,4191090,0.02063902230684619,Dog
ERR1916299,1363,3491562,0.03903696970009411,Dog
ERR1915335,1355,4116570,0.03291575267759324,Dog
ERR2402762,18498,4063404,0.4552340845261756,Dog
ERR1914696,15239,4051532,0.37612932589450115,Dog
ERR1914207,7208,4447510,0.162068213449773,Dog
ERR1914085,3503,4028044,0.08696528637720938,Dog
ERR1913614,799,4337814,0.018419415862459754,Dog
ERR1913472,37622,4346212,0.8656273554994556,Dog
ERR1915751,454,3857096,0.011770513360310451,Dog
ERR1916229,2312,2731206,0.08465124930159058,Dog
ERR1915582,253,4691122,0.005393166069865589,Dog
ERR1914944,16628,3581252,0.46430689602407205,Dog
ERR2402765,18942,4198878,0.451120513622925,Dog
ERR1916302,1495,3500200,0.042711845037426435,Dog
ERR1915103,1230,4197006,0.02930660570892679,Dog
ERR1913556,1161,4701010,0.024696820470494638,Dog
ERR1914307,1630,4460470,0.036543234233163774,Dog
ERR1915539,3850,5618600,0.06852240771722493,Dog
ERR1915309,1978,4852570,0.04076190554695759,Dog
ERR1915204,479,3744596,0.012791767122541391,Dog
ERR1914185,6159,3697256,0.16658300101480666,Dog
ERR1915816,5834,3822118,0.1526378829748323,Dog
ERR1913391,10689,4830492,0.22128180731900599,Dog
ERR1914332,652,3360198,0.019403618477244495,Dog
ERR1915022,263,3385498,0.007768428751102497,Dog
ERR1914439,540,4704484,0.011478410809772124,Dog
ERR1914302,1499,3674014,0.040800062275211796,Dog
ERR1914320,1873,4628300,0.04046842253095089,Dog
ERR1913524,1089,2602736,0.04184058621389184,Dog
ERR1915317,1060,3177654,0.03335794268350173,Dog
ERR1913948,34470,5574974,0.618298847671756,Dog
ERR1914316,1907,4707448,0.04051027223242827,Dog
ERR2402795,11041,7701058,0.1433699109914508,Dog
ERR1916189,403,4469802,0.009016059324328014,Dog
ERR1913963,37461,6034196,0.6208117866903893,Dog
ERR1915826,5715,3708276,0.15411474226837485,Dog
ERR1914111,2646,5868374,0.04508915075964825,Dog
ERR1916042,1166,4125478,0.02826339153911377,Dog
ERR1915011,165,2450928,0.006732143906308141,Dog
ERR1915380,1104,5994652,0.018416415164716815,Dog
ERR1913847,4226,5259340,0.08035228754938832,Dog
ERR1915423,2539,3681956,0.06895791258776585,Dog
ERR1913542,1089,4522812,0.02407794089163998,Dog
ERR1913392,2317,3933230,0.05890832725266511,Dog
ERR1915782,716,3017150,0.023731004424705434,Dog
ERR1915499,1215,3880756,0.031308332706307736,Dog
ERR1915611,3642,3714362,0.09805183232005926,Dog
ERR1915376,1025,5993272,0.017102510948944084,Dog
ERR1914041,3372,3524712,0.09566739069745273,Dog
ERR1914553,357,3517282,0.01014988277880477,Dog
ERR1914438,453,3627364,0.012488407559869923,Dog
ERR1916315,1563,3665318,0.042642957582398035,Dog
ERR1913675,1456,4214100,0.03455067511449657,Dog
ERR1915420,2338,3481940,0.06714647581520647,Dog
ERR1915225,3930,3020966,0.13009083849338257,Dog
ERR1914208,3053,7614094,0.04009669436705142,Dog
ERR1914674,1710,3840494,0.044525521977120654,Dog
ERR1913829,3673,4821074,0.07618634354087907,Dog
ERR1915012,153,2369958,0.006455810609301936,Dog
ERR1913953,35031,5498102,0.6371471464152538,Dog
ERR2402780,10542,7265952,0.1450876636674726,Dog
ERR1914424,632,4867382,0.012984392841983638,Dog
ERR1915578,259,4529930,0.005717527643915027,Dog
ERR1916319,1637,3652672,0.04481650692972158,Dog
ERR1915100,1240,4141642,0.029939816140554878,Dog
ERR2402772,18280,4026780,0.45396073289327954,Dog
ERR2402760,18150,4039828,0.4492765533582123,Dog
ERR1914932,15164,3287538,0.46125702577430283,Dog
ERR1913663,1303,4040726,0.032246680423270474,Dog
ERR1914441,668,4917562,0.01358396701454908,Dog
ERR1914215,2848,7596536,0.03749077210981426,Dog
ERR1915229,3875,3003368,0.12902181817213207,Dog
ERR1915197,445,3757648,0.01184251425359693,Dog
ERR1915363,1068,5700780,0.018734278467157126,Dog
ERR1916170,930,4896070,0.018994826462856943,Dog
ERR1916139,1827,4661524,0.039193190896367795,Dog
ERR1913608,873,4331384,0.020155220594618255,Dog
ERR1915231,4195,3172694,0.1322220169988029,Dog
ERR1913387,10563,4771292,0.2213865762145767,Dog
ERR1913805,4669,5005990,0.09326826461898645,Dog
ERR1916312,1574,3666764,0.04292613323355416,Dog
ERR1915253,888,2681768,0.0331124840030905,Dog
ERR1914107,2628,5828016,0.04509253234720014,Dog
ERR1916180,374,4176872,0.008954068977933726,Dog
ERR1914213,2976,7529110,0.039526584151380446,Dog
ERR1913944,35628,5713266,0.6236012816487102,Dog
ERR1914430,561,4651614,0.012060330027384042,Dog
ERR1913400,2197,3848794,0.057082816071735716,Dog
ERR1914987,17358,6702566,0.25897544313625553,Dog
ERR1914088,2503,5480602,0.04567016543073188,Dog
ERR1915765,577,3999508,0.014426774493262672,Dog
ERR1914605,3411,5270774,0.06471535300128596,Dog
ERR1913527,1392,3144084,0.044273626277160534,Dog
ERR1915320,1193,3635468,0.032815582477964324,Dog
ERR1915102,1360,4220982,0.03221999051405573,Dog
ERR1915186,325,5789872,0.0056132501720245285,Dog
ERR1913947,34769,5680650,0.6120602395852587,Dog
ERR1915745,528,3839130,0.01375311594033023,Dog
ERR1915563,3920,4000478,0.09798829039929728,Dog
ERR1914040,3115,3600712,0.0865106678901284,Dog
ERR1913950,35171,5718084,0.6150836538952559,Dog
ERR1916193,383,4427438,0.00865060109255059,Dog
ERR1915453,342,3901528,0.008765796375163783,Dog
ERR1914997,17044,6507116,0.26192863320709203,Dog
ERR1914292,1345,3294266,0.04082851840136771,Dog
ERR1915122,216,3518714,0.006138606320377274,Dog
ERR1916182,435,4189138,0.01038399785349635,Dog
ERR1915558,3896,3891880,0.10010586143457662,Dog
ERR1914985,17576,6617046,0.2656170139968802,Dog
ERR1914349,702,3639940,0.01928603218734375,Dog
ERR1916187,471,4527058,0.010404107921745204,Dog
ERR1914611,3202,5193784,0.061650619278737814,Dog
ERR1915438,372,3720340,0.009999086105033412,Dog
ERR1913555,1133,4746178,0.023871839614949125,Dog
ERR1913372,10214,4489848,0.22749099746806573,Dog
ERR1915094,851,5057952,0.016824991617160463,Dog
ERR1915048,7115,4014060,0.1772519593628396,Dog
ERR1915455,402,3885130,0.010347144111007869,Dog
ERR1915529,3721,5474540,0.0679691809722826,Dog
ERR1913389,10596,4813572,0.2201275892414199,Dog
ERR1915571,4138,4134088,0.1000946278840702,Dog
ERR1914196,4277,2525784,0.16933356138133743,Dog
ERR1915757,513,3786956,0.013546500144179125,Dog
ERR1914667,1541,3685008,0.04181809103263819,Dog
ERR1914082,3314,3859180,0.08587316476557195,Dog
ERR1915293,1756,4254094,0.04127788431567333,Dog
ERR1915064,7349,4220568,0.17412348290561838,Dog
ERR1916078,1252,5512918,0.022710296071880628,Dog
ERR1914750,1693,4200270,0.040306932649567764,Dog
ERR1913815,5349,5771454,0.09268028472547818,Dog
ERR1913971,10729,5552042,0.1932442153715696,Dog
ERR1915838,5895,4016142,0.14678265858129516,Dog
ERR1915382,988,5989274,0.016496156295404085,Dog
ERR1913780,4205,6474574,0.06494635786076428,Dog
ERR1915590,261,4385590,0.005951308717869204,Dog
ERR1915612,3884,3611340,0.10755010605481621,Dog
ERR1915140,218,3329108,0.0065483006258733574,Dog
ERR1915367,1013,5707360,0.01774901180230439,Dog
